GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FindDatasets,fr.unice.i3s.rockflows.experiments.weka,CfsSubsetFilter,134,0,2,0,33,0,9,0,8,0
FindDatasets,fr.unice.i3s.rockflows.experiments.main,MainExperiment,308,0,48,0,61,0,36,0,6,0
FindDatasets,fr.unice.i3s.rockflows.experiments.main,TestExecutor,175,0,12,0,37,0,10,0,3,0
FindDatasets,fr.unice.i3s.rockflows.experiments.main,TestExecutor.new Object() {...},26,0,0,0,1,0,1,0,1,0
FindDatasets,fr.unice.i3s.rockflows.experiments.main,AnalysePatternExecutor,663,0,42,0,150,0,42,0,21,0
FindDatasets,fr.unice.i3s.rockflows.experiments.main,Res,9,0,0,0,4,0,1,0,1,0
FindDatasets,com.javamex.classmexer,MemoryUtil,229,0,37,0,48,0,28,0,8,0
FindDatasets,com.javamex.classmexer,Agent,17,0,2,0,7,0,4,0,3,0
FindDatasets,com.javamex.classmexer,MemoryUtil.VisibilityFilter,70,0,0,0,6,0,4,0,4,0
FindDatasets,fr.unice.i3s.rockflows.experiments.automatictest,AnalyseExcelFile,280,0,22,0,54,0,15,0,4,0
FindDatasets,fr.unice.i3s.rockflows.experiments.automatictest,AutomaticTest,40,0,8,0,15,0,7,0,3,0
FindDatasets,fr.unice.i3s.rockflows.experiments.automatictest,PatternStatisticExc,288,0,10,0,47,0,8,0,3,0
FindDatasets,fr.unice.i3s.rockflows.experiments.automatictest,Statistics,74,0,4,0,16,0,6,0,4,0
FindDatasets,fr.unice.i3s.rockflows.experiments.automatictest,ExcelUtils,194,0,39,0,55,0,30,0,10,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,DataMiningUtils,1201,0,68,0,257,0,52,0,18,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,EnumAttribute,58,0,0,0,5,0,4,0,4,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,AttributeType,82,0,0,0,11,0,5,0,5,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,Metric,3,0,0,0,1,0,1,0,1,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,PreprocesserProperties,18,0,0,0,6,0,1,0,1,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,Dataset,312,0,68,0,83,0,43,0,9,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,InfoPattern,140,0,0,0,18,0,2,0,2,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,FoldsEnum,48,0,0,0,4,0,4,0,4,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,ResWorkflow,30,0,0,0,10,0,1,0,1,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,TestResult,79,0,0,0,20,0,5,0,5,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,Preprocesser,198,0,34,0,45,0,22,0,5,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,DatasetProperties,146,0,10,0,31,0,8,0,3,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,InfoClassifier,70,0,20,0,16,0,13,0,3,0
FindDatasets,fr.unice.i3s.rockflows.experiments.datamining,ClassifierProperties,74,0,0,0,17,0,2,0,2,0
